Policy Area,Description
Housing and Community Development,"Primary focus of measure is home ownership; housing programs administration and funding; residential rehabilitation; regional planning, rural and urban development; affordable housing; homelessness; housing industry and construction; fair housing. Measures concerning mortgages and mortgage finance may fall under Finance and Financial Sector policy area."
Immigration,Primary focus of measure is administration of immigration and naturalization matters; immigration enforcement procedures; refugees and asylum policies; travel and residence documentation; foreign labor; benefits for immigrants. Measures concerning smuggling and trafficking of persons may fall under Crime and Law Enforcement policy area. Measures concerning refugees may fall under International Affairs policy area.
International Affairs,"Primary focus of measure is matters affecting foreign aid, human rights, international law and organizations; national governance; arms control; diplomacy and foreign officials; alliances and collective security. Measures concerning trade agreements, tariffs, foreign investments, and foreign loans may fall under Foreign Trade and International Finance policy area."
Labor and Employment,"Primary focus of measure is matters affecting hiring and composition of the workforce, wages and benefits, labor-management relations; occupational safety, personnel management, unemployment compensation. Measures concerning public-sector employment may fall under Government Operations and Politics policy area."
Law,"Primary focus of measure is matters affecting civil actions and administrative remedies, courts and judicial administration, general constitutional issues, dispute resolution, including mediation and arbitration. Measures concerning specific constitutional amendments may fall under the policy area relevant to the subject matter of the amendment (e.g., Education). Measures concerning criminal procedure and law enforcement may fall under Crime and Law Enforcement policy area."
Native Americans,"Primary focus of measure is matters affecting Native Americans, including Alaska Natives and Hawaiians, in a variety of domestic policy settings. This includes claims, intergovernmental relations, and Indian lands and resources."
Public Lands and Natural Resources,"Primary focus of measure is natural areas (including wilderness); lands under government jurisdiction; land use practices and policies; parks, monuments, and historic sites; fisheries and marine resources; mining and minerals. Measures concerning energy supplies and production may fall under Energy policy area."
"Science, Technology, Communications","Primary focus of measure is natural sciences, space exploration, research policy and funding, research and development, STEM education, scientific cooperation and communication; technology policies, telecommunication, information technology; digital media, journalism. Measures concerning scientific education may fall under Education policy area."
Social Sciences and History,"Primary focus of measure is policy sciences, history, matters related to the study of society. Measures concerning particular aspects of government functions may fall under Government Operations and Politics policy area."
Social Welfare,"Primary focus of measure is public assistance and Social Security programs; social services matters, including community service, volunteer, and charitable activities. Measures concerning such health programs as Medicare and Medicaid may fall under Health policy area."
Sports and Recreation,"Primary focus of measure is youth, amateur, and professional athletics; outdoor recreation; sports and recreation facilities. Measures concerning recreation areas may fall under Public Lands and Natural Resources policy area."
Taxation,"Primary focus of measure is all aspects of income, excise, property, inheritance, and employment taxes; tax administration and collection. Measures concerning state and local finance may fall under Economics and Public Finance policy area."
Transportation and Public Works,"Primary focus of measure is all aspects of transportation modes and conveyances, including funding and safety matters; Coast Guard; infrastructure development; travel and tourism. Measures concerning water resources and navigation projects may fall under Water Resources Development policy area."
Water Resources Development,Primary focus of measure is the supply and use of water and control of water flows; watersheds; floods and storm protection; wetlands. Measures concerning water quality may fall under Environmental Protection policy area.
